iter	Quantile:alpha=0.95
0	0.1080199206
1	0.1047793207
2	0.1034989208
3	0.1013542508
4	0.09927392096
5	0.09658784761
6	0.0948508535
7	0.09200532561
8	0.09087179678
9	0.08814564055
10	0.08632867871
11	0.08479087045
12	0.08297698098
13	0.08150082519
14	0.0795290964
15	0.07737105308
16	0.0750499192
17	0.07373053244
18	0.07245072723
19	0.07088285604
20	0.06936202097
21	0.06748331619
22	0.06604629778
23	0.06477627816
24	0.0629917369
25	0.06129759922
26	0.0598236385
27	0.05866461641
28	0.05690467556
29	0.05533120508
30	0.05409394479
31	0.05264519268
32	0.05194891841
33	0.05054814391
34	0.04903169724
35	0.04770251299
36	0.04664097971
37	0.0456112924
38	0.04463605216
39	0.04342687936
40	0.04250537846
41	0.04136563311
42	0.04026008013
43	0.03905227538
44	0.03817510333
45	0.03702984785
46	0.03612285732
47	0.03512943827
48	0.03416903926
49	0.03323152666
50	0.03232263353
51	0.03144100722
52	0.03088102149
53	0.03004264354
54	0.02923601937
55	0.02885738938
56	0.0279916653
57	0.02763541234
58	0.02705093806
59	0.02631509128
60	0.0256871965
61	0.0249775365
62	0.02422820802
63	0.02376324259
64	0.02326177573
65	0.02277535286
66	0.02222102211
67	0.02160823313
68	0.02102960357
69	0.02059149908
70	0.02033667085
71	0.02008948747
72	0.01967958646
73	0.01908919647
74	0.01857291757
75	0.01805511646
76	0.01783628678
77	0.01740248352
78	0.01704975168
79	0.01666433502
80	0.01647060668
81	0.01610256436
82	0.01566503228
83	0.01531874125
84	0.01490472387
85	0.0146241394
86	0.01422700309
87	0.01385050294
88	0.01368913265
89	0.01335720675
90	0.01295648814
91	0.01280920984
92	0.01245251613
93	0.01215386212
94	0.01201944519
95	0.01168644442
96	0.01133584868
97	0.01102252826
98	0.01077391514
99	0.01047834914
100	0.01022977288
101	0.01004295718
102	0.009934350607
103	0.00963631769
104	0.009534129767
105	0.009435007483
106	0.009191386829
107	0.009098122669
108	0.008888248772
109	0.008728547207
110	0.00852976057
111	0.008336937538
112	0.008254371448
113	0.008174282343
114	0.00794185564
115	0.007764393472
116	0.007592255164
117	0.007425281007
118	0.007263316074
119	0.007098535062
120	0.006944724695
121	0.006880014071
122	0.00673275933
123	0.006671873102
124	0.006612813463
125	0.00655552561
126	0.006436434075
127	0.006382531935
128	0.006248295991
129	0.006118087122
130	0.005991784518
131	0.005944065343
132	0.005766536961
133	0.005721637986
134	0.00560548771
135	0.005437320681
136	0.005342790591
137	0.00523473414
138	0.005078998552
139	0.005041598961
140	0.005005321358
141	0.004905861359
142	0.004809385154
143	0.004665101206
