alpha,safety,under_pct,total_over_pct,business_score
0.9,1.0,12.630285376177689,25.47337398549641,88.62480086638485
0.9,1.011,10.8916298757453,26.67537579810564,81.13352517683214
0.9,1.021,9.70825178644577,27.788797164589088,76.33005609681794
0.9,1.032,8.820718219471122,29.02875662537924,73.13234772273485
0.9,1.043,7.996905011151063,30.280240453511798,70.26476550926711
0.9,1.054,7.214054890537526,31.54348791637188,67.61376236905951
0.9,1.064,6.654226025215056,32.700575302615086,65.97170542869037
0.9,1.075,6.012470984479541,33.98200891910427,64.04436384150198
0.9,1.086,5.548222657138956,35.27166910361291,63.01278238930769
0.9,1.096,5.143143234263347,36.44929576148108,62.16501193279782
0.9,1.107,4.697100723681216,37.750362456648595,61.23586607505467
0.9,1.118,4.305675663374448,39.05673064656533,60.58510896343756
0.9,1.129,3.896044786309226,40.368776975291375,59.8490009068375
0.9,1.139,3.5728915388466613,41.565720753207714,59.43017844744102
0.9,1.15,3.2042237494879613,42.88693418464092,58.90805293208073
0.91,1.0,11.442355832688545,26.94014348075757,84.1519226442003
0.91,1.011,9.808383778617268,28.173446657200735,77.21536555028707
0.91,1.021,8.688726047972327,29.314219457090754,72.75784969695239
0.91,1.032,7.819398297756133,30.583685357034128,69.68067684581479
0.91,1.043,7.123025806745255,31.86429553712897,67.47942457085524
0.91,1.054,6.463064949251286,33.15491490871549,65.47023965497192
0.91,1.064,5.953302080014565,34.335909210004,64.10241961007682
0.91,1.075,5.311547039279049,35.643062200287574,62.200797396682816
0.91,1.086,4.815438532611169,36.958287586248694,61.03548024930454
0.91,1.096,4.464976560010924,38.15947691730785,60.484359717362466
0.91,1.107,4.100860224841837,39.48551086146199,59.989811985671174
0.91,1.118,3.700332256155842,40.81650726044495,59.31816854122416
0.91,1.129,3.3589731919348234,42.152699045819446,58.94756500549356
0.91,1.139,3.0767830321787812,43.37110236886437,58.75501752975828
0.91,1.15,2.8446588685084886,44.71489678742669,58.938191129969134
0.92,1.0,9.967684675253743,28.419938478826133,78.25836185509485
0.92,1.011,8.543079513904692,29.68883988278883,72.40423745231229
0.92,1.021,7.669200309498885,30.85860043649068,69.2046019839851
0.92,1.032,6.950070547539939,32.15698633349299,66.90733907119268
0.92,1.043,6.285558235856356,33.465660406451114,64.89345158573289
0.92,1.054,5.716626462154658,34.78409115150145,63.36722346227474
0.92,1.064,5.21141504710755,35.989161579815004,62.046236815352756
0.92,1.075,4.710755086250057,37.321857085705105,60.87563251695539
0.92,1.086,4.323881480132902,38.66132281509371,60.280730215758226
0.92,1.096,3.941559328205362,39.88419046715065,59.59198710817746
0.92,1.107,3.577442993036275,41.234059127896295,59.12127409307767
0.92,1.118,3.2815984707113923,42.58918519668335,58.997177550240316
0.92,1.129,2.93568795230076,43.948116587365135,58.62655634886894
0.92,1.139,2.653497792544718,45.18761820955841,58.455107172282
0.92,1.15,2.403167812115971,46.554692257517836,58.57053131809769
